scenario_id,node_index,node_id,hop_distance,target_delay
SC006,23,D004,-1,0.0
SC006,24,D005,-1,0.0
SC006,25,R001,-1,0.0
SC006,26,R002,3,5.0
SC006,27,R003,-1,0.0
SC006,28,R004,-1,0.0
SC006,29,R005,-1,0.0
SC007,0,S001,-1,0.0
SC007,1,S002,-1,0.0
SC007,2,S003,-1,0.0
SC007,3,S004,-1,0.0
SC007,4,S005,-1,0.0
SC007,5,M001,-1,0.0
SC007,6,M002,-1,0.0
SC007,7,M003,-1,0.0
SC007,8,M004,-1,0.0
SC007,9,M005,-1,0.0
SC007,10,P001,-1,0.0
SC007,11,P002,0,10.0
SC007,12,P003,-1,0.0
SC007,13,P004,-1,0.0
SC007,14,P005,-1,0.0
SC007,15,W001,-1,0.0
SC007,16,W002,1,7.0
SC007,17,W003,-1,0.0
SC007,18,W004,-1,0.0
SC007,19,W005,-1,0.0
SC007,20,D001,-1,0.0
SC007,21,D002,2,4.5
SC007,22,D003,-1,0.0
SC007,23,D004,-1,0.0
SC007,24,D005,-1,0.0
SC007,25,R001,-1,0.0
SC007,26,R002,3,2.5
SC007,27,R003,-1,0.0
SC007,28,R004,-1,0.0
SC007,29,R005,-1,0.0
SC008,0,S001,-1,0.0
SC008,1,S002,-1,0.0
SC008,2,S003,-1,0.0
SC008,3,S004,-1,0.0
SC008,4,S005,-1,0.0
SC008,5,M001,-1,0.0
SC008,6,M002,-1,0.0
SC008,7,M003,-1,0.0
SC008,8,M004,-1,0.0
SC008,9,M005,-1,0.0
SC008,10,P001,-1,0.0
SC008,11,P002,-1,0.0
SC008,12,P003,0,30.0
SC008,13,P004,-1,0.0
SC008,14,P005,-1,0.0
SC008,15,W001,-1,0.0
SC008,16,W002,-1,0.0
SC008,17,W003,1,21.0
SC008,18,W004,-1,0.0
SC008,19,W005,-1,0.0
SC008,20,D001,-1,0.0
SC008,21,D002,-1,0.0
SC008,22,D003,2,13.5
SC008,23,D004,-1,0.0
SC008,24,D005,-1,0.0
SC008,25,R001,-1,0.0
SC008,26,R002,-1,0.0
SC008,27,R003,3,7.5
SC008,28,R004,-1,0.0
SC008,29,R005,-1,0.0
SC009,0,S001,-1,0.0
SC009,1,S002,-1,0.0
SC009,2,S003,-1,0.0
SC009,3,S004,-1,0.0
SC009,4,S005,-1,0.0
SC009,5,M001,-1,0.0
SC009,6,M002,-1,0.0
SC009,7,M003,-1,0.0
SC009,8,M004,-1,0.0
SC009,9,M005,-1,0.0
SC009,10,P001,-1,0.0
SC009,11,P002,-1,0.0
SC009,12,P003,-1,0.0
SC009,13,P004,0,40.0
SC009,14,P005,-1,0.0
SC009,15,W001,-1,0.0
SC009,16,W002,-1,0.0
SC009,17,W003,-1,0.0
SC009,18,W004,1,28.0
SC009,19,W005,-1,0.0
SC009,20,D001,-1,0.0
SC009,21,D002,-1,0.0
SC009,22,D003,-1,0.0
SC009,23,D004,2,18.0
SC009,24,D005,-1,0.0
SC009,25,R001,-1,0.0
SC009,26,R002,-1,0.0
SC009,27,R003,-1,0.0
SC009,28,R004,3,10.0
SC009,29,R005,-1,0.0
SC010,0,S001,-1,0.0
SC010,1,S002,-1,0.0
SC010,2,S003,-1,0.0
SC010,3,S004,-1,0.0
SC010,4,S005,-1,0.0
SC010,5,M001,-1,0.0
SC010,6,M002,-1,0.0
SC010,7,M003,-1,0.0
SC010,8,M004,-1,0.0
SC010,9,M005,-1,0.0
SC010,10,P001,-1,0.0
SC010,11,P002,-1,0.0
SC010,12,P003,-1,0.0
SC010,13,P004,-1,0.0
SC010,14,P005,0,35.0
SC010,15,W001,-1,0.0
SC010,16,W002,-1,0.0
SC010,17,W003,-1,0.0
SC010,18,W004,-1,0.0
SC010,19,W005,1,24.5
SC010,20,D001,2,15.75
SC010,21,D002,-1,0.0
SC010,22,D003,-1,0.0
SC010,23,D004,-1,0.0
SC010,24,D005,-1,0.0
SC010,25,R001,3,8.75
SC010,26,R002,-1,0.0
SC010,27,R003,-1,0.0
SC010,28,R004,-1,0.0
SC010,29,R005,-1,0.0
