scenario_id,node_id,node_index,capacity,delay,risk_value,disruption,target_delay
SC006,R001,25,70,0,0,0,20
SC006,R002,26,65,0,0,0,20
SC006,R003,27,75,0,0,0,20
SC006,R004,28,60,0,0,0,20
SC006,R005,29,65,0,0,0,20
SC007,S001,0,80,0,0,0,10
SC007,S002,1,90,0,0,0,10
SC007,S003,2,75,0,0,0,10
SC007,S004,3,85,0,0,0,10
SC007,S005,4,70,0,0,0,10
SC007,M001,5,100,0,0,0,10
SC007,M002,6,90,0,0,0,10
SC007,M003,7,95,0,0,0,10
SC007,M004,8,85,0,0,0,10
SC007,M005,9,80,0,0,0,10
SC007,P001,10,100,0,0,0,10
SC007,P002,11,95,0,0,1,10
SC007,P003,12,100,0,0,0,10
SC007,P004,13,90,0,0,0,10
SC007,P005,14,100,0,0,0,10
SC007,W001,15,80,0,0,0,10
SC007,W002,16,75,0,0,0,10
SC007,W003,17,85,0,0,0,10
SC007,W004,18,70,0,0,0,10
SC007,W005,19,90,0,0,0,10
SC007,D001,20,80,0,0,0,10
SC007,D002,21,75,0,0,0,10
SC007,D003,22,85,0,0,0,10
SC007,D004,23,70,0,0,0,10
SC007,D005,24,75,0,0,0,10
SC007,R001,25,70,0,0,0,10
SC007,R002,26,65,0,0,0,10
SC007,R003,27,75,0,0,0,10
SC007,R004,28,60,0,0,0,10
SC007,R005,29,65,0,0,0,10
SC008,S001,0,80,0,0,0,30
SC008,S002,1,90,0,0,0,30
SC008,S003,2,75,0,0,0,30
SC008,S004,3,85,0,0,0,30
SC008,S005,4,70,0,0,0,30
SC008,M001,5,100,0,0,0,30
SC008,M002,6,90,0,0,0,30
SC008,M003,7,95,0,0,0,30
SC008,M004,8,85,0,0,0,30
SC008,M005,9,80,0,0,0,30
SC008,P001,10,100,0,0,0,30
SC008,P002,11,95,0,0,0,30
SC008,P003,12,100,0,0,1,30
SC008,P004,13,90,0,0,0,30
SC008,P005,14,100,0,0,0,30
SC008,W001,15,80,0,0,0,30
SC008,W002,16,75,0,0,0,30
SC008,W003,17,85,0,0,0,30
SC008,W004,18,70,0,0,0,30
SC008,W005,19,90,0,0,0,30
SC008,D001,20,80,0,0,0,30
SC008,D002,21,75,0,0,0,30
SC008,D003,22,85,0,0,0,30
SC008,D004,23,70,0,0,0,30
SC008,D005,24,75,0,0,0,30
SC008,R001,25,70,0,0,0,30
SC008,R002,26,65,0,0,0,30
SC008,R003,27,75,0,0,0,30
SC008,R004,28,60,0,0,0,30
SC008,R005,29,65,0,0,0,30
SC009,S001,0,80,0,0,0,40
SC009,S002,1,90,0,0,0,40
SC009,S003,2,75,0,0,0,40
SC009,S004,3,85,0,0,0,40
SC009,S005,4,70,0,0,0,40
SC009,M001,5,100,0,0,0,40
SC009,M002,6,90,0,0,0,40
SC009,M003,7,95,0,0,0,40
SC009,M004,8,85,0,0,0,40
SC009,M005,9,80,0,0,0,40
SC009,P001,10,100,0,0,0,40
SC009,P002,11,95,0,0,0,40
SC009,P003,12,100,0,0,0,40
SC009,P004,13,90,0,0,1,40
SC009,P005,14,100,0,0,0,40
SC009,W001,15,80,0,0,0,40
SC009,W002,16,75,0,0,0,40
SC009,W003,17,85,0,0,0,40
SC009,W004,18,70,0,0,0,40
SC009,W005,19,90,0,0,0,40
SC009,D001,20,80,0,0,0,40
SC009,D002,21,75,0,0,0,40
SC009,D003,22,85,0,0,0,40
SC009,D004,23,70,0,0,0,40
SC009,D005,24,75,0,0,0,40
SC009,R001,25,70,0,0,0,40
SC009,R002,26,65,0,0,0,40
SC009,R003,27,75,0,0,0,40
SC009,R004,28,60,0,0,0,40
SC009,R005,29,65,0,0,0,40
SC010,S001,0,80,0,0,0,35
SC010,S002,1,90,0,0,0,35
SC010,S003,2,75,0,0,0,35
SC010,S004,3,85,0,0,0,35
SC010,S005,4,70,0,0,0,35
SC010,M001,5,100,0,0,0,35
SC010,M002,6,90,0,0,0,35
SC010,M003,7,95,0,0,0,35
SC010,M004,8,85,0,0,0,35
SC010,M005,9,80,0,0,0,35
SC010,P001,10,100,0,0,0,35
SC010,P002,11,95,0,0,0,35
SC010,P003,12,100,0,0,0,35
SC010,P004,13,90,0,0,0,35
SC010,P005,14,100,0,0,1,35
SC010,W001,15,80,0,0,0,35
SC010,W002,16,75,0,0,0,35
SC010,W003,17,85,0,0,0,35
SC010,W004,18,70,0,0,0,35
SC010,W005,19,90,0,0,0,35
SC010,D001,20,80,0,0,0,35
SC010,D002,21,75,0,0,0,35
SC010,D003,22,85,0,0,0,35
SC010,D004,23,70,0,0,0,35
SC010,D005,24,75,0,0,0,35
SC010,R001,25,70,0,0,0,35
SC010,R002,26,65,0,0,0,35
SC010,R003,27,75,0,0,0,35
SC010,R004,28,60,0,0,0,35
SC010,R005,29,65,0,0,0,35
