scenario_id,node_index,node_id,target_delay
SC005,22,D003,0.0
SC005,23,D004,0.0
SC005,24,D005,0.0
SC005,25,R001,0.0
SC005,26,R002,5.12
SC005,27,R003,0.0
SC005,28,R004,0.0
SC005,29,R005,0.0
SC006,0,S001,0.0
SC006,1,S002,0.0
SC006,2,S003,0.0
SC006,3,S004,0.0
SC006,4,S005,0.0
SC006,5,M001,0.0
SC006,6,M002,0.0
SC006,7,M003,0.0
SC006,8,M004,0.0
SC006,9,M005,0.0
SC006,10,P001,0.0
SC006,11,P002,25.0
SC006,12,P003,0.0
SC006,13,P004,0.0
SC006,14,P005,0.0
SC006,15,W001,0.0
SC006,16,W002,20.0
SC006,17,W003,0.0
SC006,18,W004,0.0
SC006,19,W005,0.0
SC006,20,D001,0.0
SC006,21,D002,16.0
SC006,22,D003,0.0
SC006,23,D004,0.0
SC006,24,D005,0.0
SC006,25,R001,0.0
SC006,26,R002,12.8
SC006,27,R003,0.0
SC006,28,R004,0.0
SC006,29,R005,0.0
SC007,0,S001,0.0
SC007,1,S002,0.0
SC007,2,S003,0.0
SC007,3,S004,0.0
SC007,4,S005,0.0
SC007,5,M001,0.0
SC007,6,M002,0.0
SC007,7,M003,0.0
SC007,8,M004,0.0
SC007,9,M005,0.0
SC007,10,P001,0.0
SC007,11,P002,35.0
SC007,12,P003,0.0
SC007,13,P004,0.0
SC007,14,P005,0.0
SC007,15,W001,0.0
SC007,16,W002,28.0
SC007,17,W003,0.0
SC007,18,W004,0.0
SC007,19,W005,0.0
SC007,20,D001,0.0
SC007,21,D002,22.4
SC007,22,D003,0.0
SC007,23,D004,0.0
SC007,24,D005,0.0
SC007,25,R001,0.0
SC007,26,R002,17.92
SC007,27,R003,0.0
SC007,28,R004,0.0
SC007,29,R005,0.0
SC008,0,S001,0.0
SC008,1,S002,0.0
SC008,2,S003,0.0
SC008,3,S004,0.0
SC008,4,S005,0.0
SC008,5,M001,0.0
SC008,6,M002,0.0
SC008,7,M003,0.0
SC008,8,M004,0.0
SC008,9,M005,0.0
SC008,10,P001,0.0
SC008,11,P002,16.0
SC008,12,P003,0.0
SC008,13,P004,0.0
SC008,14,P005,0.0
SC008,15,W001,0.0
SC008,16,W002,12.8
SC008,17,W003,0.0
SC008,18,W004,0.0
SC008,19,W005,0.0
SC008,20,D001,0.0
SC008,21,D002,10.24
SC008,22,D003,0.0
SC008,23,D004,0.0
SC008,24,D005,0.0
SC008,25,R001,0.0
SC008,26,R002,8.19
SC008,27,R003,0.0
SC008,28,R004,0.0
SC008,29,R005,0.0
SC009,0,S001,0.0
SC009,1,S002,0.0
SC009,2,S003,0.0
SC009,3,S004,0.0
SC009,4,S005,0.0
SC009,5,M001,0.0
SC009,6,M002,0.0
SC009,7,M003,0.0
SC009,8,M004,0.0
SC009,9,M005,0.0
SC009,10,P001,0.0
SC009,11,P002,18.0
SC009,12,P003,0.0
SC009,13,P004,0.0
SC009,14,P005,0.0
SC009,15,W001,0.0
SC009,16,W002,14.4
SC009,17,W003,0.0
SC009,18,W004,0.0
SC009,19,W005,0.0
SC009,20,D001,0.0
SC009,21,D002,11.52
SC009,22,D003,0.0
SC009,23,D004,0.0
SC009,24,D005,0.0
SC009,25,R001,0.0
SC009,26,R002,9.22
SC009,27,R003,0.0
SC009,28,R004,0.0
SC009,29,R005,0.0
SC010,0,S001,0.0
SC010,1,S002,0.0
SC010,2,S003,0.0
SC010,3,S004,0.0
SC010,4,S005,0.0
SC010,5,M001,0.0
SC010,6,M002,0.0
SC010,7,M003,0.0
SC010,8,M004,0.0
SC010,9,M005,0.0
SC010,10,P001,0.0
SC010,11,P002,8.0
SC010,12,P003,0.0
SC010,13,P004,0.0
SC010,14,P005,0.0
SC010,15,W001,0.0
SC010,16,W002,6.4
SC010,17,W003,0.0
SC010,18,W004,0.0
SC010,19,W005,0.0
SC010,20,D001,0.0
SC010,21,D002,5.12
SC010,22,D003,0.0
SC010,23,D004,0.0
SC010,24,D005,0.0
SC010,25,R001,0.0
SC010,26,R002,4.1
SC010,27,R003,0.0
SC010,28,R004,0.0
SC010,29,R005,0.0
SC011,0,S001,0.0
SC011,1,S002,0.0
SC011,2,S003,0.0
SC011,3,S004,0.0
SC011,4,S005,0.0
SC011,5,M001,0.0
SC011,6,M002,0.0
SC011,7,M003,0.0
SC011,8,M004,0.0
SC011,9,M005,0.0
SC011,10,P001,0.0
SC011,11,P002,0.0
SC011,12,P003,45.0
SC011,13,P004,0.0
SC011,14,P005,0.0
SC011,15,W001,0.0
SC011,16,W002,0.0
SC011,17,W003,36.0
SC011,18,W004,0.0
SC011,19,W005,0.0
SC011,20,D001,0.0
SC011,21,D002,0.0
SC011,22,D003,28.8
SC011,23,D004,0.0
SC011,24,D005,0.0
SC011,25,R001,0.0
SC011,26,R002,0.0
SC011,27,R003,23.04
SC011,28,R004,0.0
SC011,29,R005,0.0
SC012,0,S001,0.0
SC012,1,S002,0.0
SC012,2,S003,0.0
SC012,3,S004,0.0
SC012,4,S005,0.0
SC012,5,M001,0.0
SC012,6,M002,0.0
SC012,7,M003,0.0
SC012,8,M004,0.0
SC012,9,M005,0.0
SC012,10,P001,0.0
SC012,11,P002,0.0
SC012,12,P003,38.0
SC012,13,P004,0.0
SC012,14,P005,0.0
SC012,15,W001,0.0
SC012,16,W002,0.0
SC012,17,W003,30.4
SC012,18,W004,0.0
SC012,19,W005,0.0
SC012,20,D001,0.0
SC012,21,D002,0.0
SC012,22,D003,24.32
SC012,23,D004,0.0
SC012,24,D005,0.0
SC012,25,R001,0.0
SC012,26,R002,0.0
SC012,27,R003,19.46
SC012,28,R004,0.0
SC012,29,R005,0.0
SC013,0,S001,0.0
SC013,1,S002,0.0
SC013,2,S003,0.0
SC013,3,S004,0.0
SC013,4,S005,0.0
SC013,5,M001,0.0
SC013,6,M002,0.0
SC013,7,M003,0.0
SC013,8,M004,0.0
SC013,9,M005,0.0
SC013,10,P001,0.0
SC013,11,P002,0.0
SC013,12,P003,22.0
SC013,13,P004,0.0
SC013,14,P005,0.0
SC013,15,W001,0.0
SC013,16,W002,0.0
SC013,17,W003,17.6
SC013,18,W004,0.0
SC013,19,W005,0.0
SC013,20,D001,0.0
SC013,21,D002,0.0
SC013,22,D003,14.08
SC013,23,D004,0.0
SC013,24,D005,0.0
SC013,25,R001,0.0
SC013,26,R002,0.0
SC013,27,R003,11.26
SC013,28,R004,0.0
SC013,29,R005,0.0
SC014,0,S001,0.0
SC014,1,S002,0.0
SC014,2,S003,0.0
SC014,3,S004,0.0
SC014,4,S005,0.0
SC014,5,M001,0.0
SC014,6,M002,0.0
SC014,7,M003,0.0
SC014,8,M004,0.0
SC014,9,M005,0.0
SC014,10,P001,0.0
SC014,11,P002,0.0
SC014,12,P003,24.0
SC014,13,P004,0.0
SC014,14,P005,0.0
SC014,15,W001,0.0
SC014,16,W002,0.0
SC014,17,W003,19.2
SC014,18,W004,0.0
SC014,19,W005,0.0
SC014,20,D001,0.0
SC014,21,D002,0.0
SC014,22,D003,15.36
SC014,23,D004,0.0
SC014,24,D005,0.0
SC014,25,R001,0.0
SC014,26,R002,0.0
SC014,27,R003,12.29
SC014,28,R004,0.0
SC014,29,R005,0.0
SC015,0,S001,0.0
SC015,1,S002,0.0
SC015,2,S003,0.0
SC015,3,S004,0.0
SC015,4,S005,0.0
SC015,5,M001,0.0
SC015,6,M002,0.0
SC015,7,M003,0.0
SC015,8,M004,0.0
SC015,9,M005,0.0
SC015,10,P001,0.0
SC015,11,P002,0.0
SC015,12,P003,12.0
SC015,13,P004,0.0
SC015,14,P005,0.0
SC015,15,W001,0.0
SC015,16,W002,0.0
SC015,17,W003,9.6
SC015,18,W004,0.0
SC015,19,W005,0.0
SC015,20,D001,0.0
SC015,21,D002,0.0
SC015,22,D003,7.68
SC015,23,D004,0.0
SC015,24,D005,0.0
SC015,25,R001,0.0
SC015,26,R002,0.0
SC015,27,R003,6.14
SC015,28,R004,0.0
SC015,29,R005,0.0
SC016,0,S001,0.0
SC016,1,S002,0.0
SC016,2,S003,0.0
SC016,3,S004,0.0
SC016,4,S005,0.0
SC016,5,M001,0.0
SC016,6,M002,0.0
SC016,7,M003,0.0
SC016,8,M004,0.0
SC016,9,M005,0.0
SC016,10,P001,0.0
SC016,11,P002,0.0
SC016,12,P003,0.0
SC016,13,P004,40.0
SC016,14,P005,0.0
SC016,15,W001,0.0
SC016,16,W002,0.0
SC016,17,W003,0.0
SC016,18,W004,32.0
SC016,19,W005,0.0
SC016,20,D001,0.0
SC016,21,D002,0.0
SC016,22,D003,0.0
SC016,23,D004,25.6
SC016,24,D005,0.0
SC016,25,R001,0.0
SC016,26,R002,0.0
SC016,27,R003,0.0
SC016,28,R004,20.48
SC016,29,R005,0.0
SC017,0,S001,0.0
SC017,1,S002,0.0
SC017,2,S003,0.0
SC017,3,S004,0.0
SC017,4,S005,0.0
SC017,5,M001,0.0
SC017,6,M002,0.0
SC017,7,M003,0.0
SC017,8,M004,0.0
SC017,9,M005,0.0
SC017,10,P001,0.0
SC017,11,P002,0.0
SC017,12,P003,0.0
SC017,13,P004,32.0
SC017,14,P005,0.0
SC017,15,W001,0.0
SC017,16,W002,0.0
SC017,17,W003,0.0
SC017,18,W004,25.6
SC017,19,W005,0.0
SC017,20,D001,0.0
SC017,21,D002,0.0
SC017,22,D003,0.0
SC017,23,D004,20.48
SC017,24,D005,0.0
SC017,25,R001,0.0
SC017,26,R002,0.0
SC017,27,R003,0.0
SC017,28,R004,16.38
SC017,29,R005,0.0
SC018,0,S001,0.0
SC018,1,S002,0.0
SC018,2,S003,0.0
SC018,3,S004,0.0
SC018,4,S005,0.0
SC018,5,M001,0.0
SC018,6,M002,0.0
SC018,7,M003,0.0
SC018,8,M004,0.0
SC018,9,M005,0.0
SC018,10,P001,0.0
SC018,11,P002,0.0
SC018,12,P003,0.0
SC018,13,P004,20.0
SC018,14,P005,0.0
SC018,15,W001,0.0
SC018,16,W002,0.0
SC018,17,W003,0.0
SC018,18,W004,16.0
SC018,19,W005,0.0
SC018,20,D001,0.0
SC018,21,D002,0.0
SC018,22,D003,0.0
SC018,23,D004,12.8
SC018,24,D005,0.0
SC018,25,R001,0.0
SC018,26,R002,0.0
SC018,27,R003,0.0
SC018,28,R004,10.24
SC018,29,R005,0.0
SC019,0,S001,0.0
SC019,1,S002,0.0
SC019,2,S003,0.0
SC019,3,S004,0.0
SC019,4,S005,0.0
SC019,5,M001,0.0
SC019,6,M002,0.0
SC019,7,M003,0.0
SC019,8,M004,0.0
SC019,9,M005,0.0
SC019,10,P001,0.0
SC019,11,P002,0.0
SC019,12,P003,0.0
SC019,13,P004,18.0
SC019,14,P005,0.0
SC019,15,W001,0.0
SC019,16,W002,0.0
SC019,17,W003,0.0
SC019,18,W004,14.4
SC019,19,W005,0.0
SC019,20,D001,0.0
SC019,21,D002,0.0
SC019,22,D003,0.0
SC019,23,D004,11.52
SC019,24,D005,0.0
SC019,25,R001,0.0
SC019,26,R002,0.0
SC019,27,R003,0.0
SC019,28,R004,9.22
SC019,29,R005,0.0
SC020,0,S001,0.0
SC020,1,S002,0.0
SC020,2,S003,0.0
SC020,3,S004,0.0
SC020,4,S005,0.0
SC020,5,M001,0.0
SC020,6,M002,0.0
SC020,7,M003,0.0
SC020,8,M004,0.0
SC020,9,M005,0.0
SC020,10,P001,0.0
SC020,11,P002,0.0
SC020,12,P003,0.0
SC020,13,P004,9.0
SC020,14,P005,0.0
SC020,15,W001,0.0
SC020,16,W002,0.0
SC020,17,W003,0.0
SC020,18,W004,7.2
SC020,19,W005,0.0
SC020,20,D001,0.0
SC020,21,D002,0.0
SC020,22,D003,0.0
SC020,23,D004,5.76
SC020,24,D005,0.0
SC020,25,R001,0.0
SC020,26,R002,0.0
SC020,27,R003,0.0
SC020,28,R004,4.61
SC020,29,R005,0.0
SC021,0,S001,0.0
SC021,1,S002,0.0
SC021,2,S003,0.0
SC021,3,S004,0.0
SC021,4,S005,0.0
SC021,5,M001,0.0
SC021,6,M002,0.0
SC021,7,M003,0.0
SC021,8,M004,0.0
SC021,9,M005,0.0
SC021,10,P001,0.0
SC021,11,P002,0.0
SC021,12,P003,0.0
SC021,13,P004,0.0
SC021,14,P005,35.0
SC021,15,W001,0.0
SC021,16,W002,0.0
SC021,17,W003,0.0
SC021,18,W004,0.0
SC021,19,W005,28.0
SC021,20,D001,22.4
SC021,21,D002,0.0
SC021,22,D003,0.0
SC021,23,D004,0.0
SC021,24,D005,0.0
SC021,25,R001,17.92
SC021,26,R002,0.0
SC021,27,R003,0.0
SC021,28,R004,0.0
SC021,29,R005,0.0
SC022,0,S001,0.0
SC022,1,S002,0.0
SC022,2,S003,0.0
SC022,3,S004,0.0
SC022,4,S005,0.0
SC022,5,M001,0.0
SC022,6,M002,0.0
SC022,7,M003,0.0
SC022,8,M004,0.0
SC022,9,M005,0.0
SC022,10,P001,0.0
SC022,11,P002,0.0
SC022,12,P003,0.0
SC022,13,P004,0.0
SC022,14,P005,42.0
SC022,15,W001,0.0
SC022,16,W002,0.0
SC022,17,W003,0.0
SC022,18,W004,0.0
SC022,19,W005,33.6
SC022,20,D001,26.88
SC022,21,D002,0.0
SC022,22,D003,0.0
SC022,23,D004,0.0
SC022,24,D005,0.0
SC022,25,R001,21.5
SC022,26,R002,0.0
SC022,27,R003,0.0
SC022,28,R004,0.0
SC022,29,R005,0.0
SC023,0,S001,0.0
SC023,1,S002,0.0
SC023,2,S003,0.0
SC023,3,S004,0.0
SC023,4,S005,0.0
SC023,5,M001,0.0
SC023,6,M002,0.0
SC023,7,M003,0.0
SC023,8,M004,0.0
SC023,9,M005,0.0
SC023,10,P001,0.0
SC023,11,P002,0.0
SC023,12,P003,0.0
SC023,13,P004,0.0
SC023,14,P005,21.0
SC023,15,W001,0.0
SC023,16,W002,0.0
SC023,17,W003,0.0
SC023,18,W004,0.0
SC023,19,W005,16.8
SC023,20,D001,13.44
SC023,21,D002,0.0
SC023,22,D003,0.0
SC023,23,D004,0.0
SC023,24,D005,0.0
SC023,25,R001,10.75
SC023,26,R002,0.0
SC023,27,R003,0.0
SC023,28,R004,0.0
SC023,29,R005,0.0
SC024,0,S001,0.0
SC024,1,S002,0.0
SC024,2,S003,0.0
SC024,3,S004,0.0
SC024,4,S005,0.0
SC024,5,M001,0.0
SC024,6,M002,0.0
SC024,7,M003,0.0
SC024,8,M004,0.0
SC024,9,M005,0.0
SC024,10,P001,0.0
SC024,11,P002,0.0
SC024,12,P003,0.0
SC024,13,P004,0.0
SC024,14,P005,19.0
SC024,15,W001,0.0
SC024,16,W002,0.0
SC024,17,W003,0.0
SC024,18,W004,0.0
SC024,19,W005,15.2
SC024,20,D001,12.16
SC024,21,D002,0.0
SC024,22,D003,0.0
SC024,23,D004,0.0
SC024,24,D005,0.0
SC024,25,R001,9.73
SC024,26,R002,0.0
SC024,27,R003,0.0
SC024,28,R004,0.0
SC024,29,R005,0.0
SC025,0,S001,0.0
SC025,1,S002,0.0
SC025,2,S003,0.0
SC025,3,S004,0.0
SC025,4,S005,0.0
SC025,5,M001,0.0
SC025,6,M002,0.0
SC025,7,M003,0.0
SC025,8,M004,0.0
SC025,9,M005,0.0
SC025,10,P001,0.0
SC025,11,P002,0.0
SC025,12,P003,0.0
SC025,13,P004,0.0
SC025,14,P005,7.0
SC025,15,W001,0.0
SC025,16,W002,0.0
SC025,17,W003,0.0
SC025,18,W004,0.0
SC025,19,W005,5.6
SC025,20,D001,4.48
SC025,21,D002,0.0
SC025,22,D003,0.0
SC025,23,D004,0.0
SC025,24,D005,0.0
SC025,25,R001,3.58
SC025,26,R002,0.0
SC025,27,R003,0.0
SC025,28,R004,0.0
SC025,29,R005,0.0
SC026,0,S001,0.0
SC026,1,S002,0.0
SC026,2,S003,0.0
SC026,3,S004,0.0
SC026,4,S005,0.0
SC026,5,M001,0.0
SC026,6,M002,0.0
SC026,7,M003,0.0
SC026,8,M004,0.0
SC026,9,M005,0.0
SC026,10,P001,26.0
SC026,11,P002,0.0
SC026,12,P003,0.0
SC026,13,P004,0.0
SC026,14,P005,0.0
SC026,15,W001,20.8
SC026,16,W002,0.0
SC026,17,W003,0.0
SC026,18,W004,0.0
SC026,19,W005,0.0
SC026,20,D001,0.0
SC026,21,D002,16.64
SC026,22,D003,0.0
SC026,23,D004,0.0
SC026,24,D005,0.0
SC026,25,R001,0.0
SC026,26,R002,13.31
SC026,27,R003,0.0
SC026,28,R004,0.0
SC026,29,R005,0.0
SC027,0,S001,0.0
SC027,1,S002,0.0
SC027,2,S003,0.0
SC027,3,S004,0.0
SC027,4,S005,0.0
SC027,5,M001,0.0
SC027,6,M002,0.0
SC027,7,M003,0.0
SC027,8,M004,0.0
SC027,9,M005,0.0
SC027,10,P001,0.0
SC027,11,P002,12.0
SC027,12,P003,0.0
SC027,13,P004,0.0
SC027,14,P005,0.0
SC027,15,W001,0.0
SC027,16,W002,9.6
SC027,17,W003,0.0
SC027,18,W004,0.0
SC027,19,W005,0.0
SC027,20,D001,0.0
SC027,21,D002,7.68
SC027,22,D003,0.0
SC027,23,D004,0.0
SC027,24,D005,0.0
SC027,25,R001,0.0
SC027,26,R002,6.14
SC027,27,R003,0.0
SC027,28,R004,0.0
SC027,29,R005,0.0
SC028,0,S001,0.0
SC028,1,S002,0.0
SC028,2,S003,0.0
SC028,3,S004,0.0
SC028,4,S005,0.0
SC028,5,M001,0.0
SC028,6,M002,0.0
SC028,7,M003,0.0
SC028,8,M004,0.0
SC028,9,M005,0.0
SC028,10,P001,0.0
SC028,11,P002,0.0
SC028,12,P003,28.0
SC028,13,P004,0.0
SC028,14,P005,0.0
SC028,15,W001,0.0
SC028,16,W002,0.0
SC028,17,W003,22.4
SC028,18,W004,0.0
SC028,19,W005,0.0
SC028,20,D001,0.0
SC028,21,D002,0.0
SC028,22,D003,17.92
SC028,23,D004,0.0
SC028,24,D005,0.0
SC028,25,R001,0.0
SC028,26,R002,0.0
SC028,27,R003,14.34
SC028,28,R004,0.0
SC028,29,R005,0.0
SC029,0,S001,0.0
SC029,1,S002,0.0
SC029,2,S003,0.0
SC029,3,S004,0.0
SC029,4,S005,0.0
SC029,5,M001,0.0
SC029,6,M002,0.0
SC029,7,M003,0.0
SC029,8,M004,0.0
SC029,9,M005,0.0
SC029,10,P001,0.0
SC029,11,P002,0.0
SC029,12,P003,0.0
SC029,13,P004,11.0
SC029,14,P005,0.0
SC029,15,W001,0.0
SC029,16,W002,0.0
SC029,17,W003,0.0
SC029,18,W004,8.8
SC029,19,W005,0.0
SC029,20,D001,0.0
SC029,21,D002,0.0
SC029,22,D003,0.0
SC029,23,D004,7.04
SC029,24,D005,0.0
SC029,25,R001,0.0
SC029,26,R002,0.0
SC029,27,R003,0.0
SC029,28,R004,5.63
SC029,29,R005,0.0
SC030,0,S001,0.0
SC030,1,S002,0.0
SC030,2,S003,0.0
SC030,3,S004,0.0
SC030,4,S005,0.0
SC030,5,M001,0.0
SC030,6,M002,0.0
SC030,7,M003,0.0
SC030,8,M004,0.0
SC030,9,M005,0.0
SC030,10,P001,0.0
SC030,11,P002,0.0
SC030,12,P003,0.0
SC030,13,P004,0.0
SC030,14,P005,27.0
SC030,15,W001,0.0
SC030,16,W002,0.0
SC030,17,W003,0.0
SC030,18,W004,0.0
SC030,19,W005,21.6
SC030,20,D001,17.28
SC030,21,D002,0.0
SC030,22,D003,0.0
SC030,23,D004,0.0
SC030,24,D005,0.0
SC030,25,R001,13.82
SC030,26,R002,0.0
SC030,27,R003,0.0
SC030,28,R004,0.0
SC030,29,R005,0.0
